config,runId,provider,mode,flagshipModel,gateModel,totalInputTokens,totalOutputTokens,totalTokens,totalCostUsd,meanInvariantCount,totalMissingInvariants,totalContradictions,totalDriftScore,meanDriftScore,meanQualityScore,testsPassed,usedMockClients
baseline-openai,1,openai,baseline,gpt-5.4,,35571,8416,43987,0.2151675,8.7,0,0,0,0,9.45,true,false
baseline-openai,2,openai,baseline,gpt-5.4,,35966,8139,44105,0.212,4.8,0,0,0,0,9.35,true,false
baseline-openai,3,openai,baseline,gpt-5.4,,34649,8016,42665,0.2068625,3,0,0,0,0,9.55,true,false
baseline-openai,4,openai,baseline,gpt-5.4,,33540,7804,41344,0.20091,1.1,0,0,0,0,9.65,true,false
baseline-openai,5,openai,baseline,gpt-5.4,,36100,8054,44154,0.21106,10,0,0,0,0,9.5,true,false
baseline-openai,6,openai,baseline,gpt-5.4,,37683,8688,46371,0.2245275,4.8,0,0,0,0,9.3,true,false
baseline-openai,7,openai,baseline,gpt-5.4,,34664,7801,42465,0.203675,2.9,0,0,0,0,9.3,true,false
baseline-openai,8,openai,baseline,gpt-5.4,,33434,7679,41113,0.19877,2.4,0,0,0,0,9.1,true,false
baseline-openai,9,openai,baseline,gpt-5.4,,36209,8047,44256,0.2112275,1.5,0,0,0,0,9.45,true,false
baseline-openai,10,openai,baseline,gpt-5.4,,36085,8253,44338,0.2140075,1.8,0,0,0,0,9.6,true,false
openai-mini,1,openai,cascade,gpt-5.4,gpt-5-mini,48537,20121,68658,0.1389525,8.7,38,5,43,4.3,9.2,true,false
openai-mini,2,openai,cascade,gpt-5.4,gpt-5-mini,46678,19132,65810,0.13512775,5.6,26,2,28,2.8,9.2,true,false
openai-mini,3,openai,cascade,gpt-5.4,gpt-5-mini,50133,17445,67578,0.13592725,7.3,13,10,23,2.3,9.4,true,false
openai-mini,4,openai,cascade,gpt-5.4,gpt-5-mini,47729,17872,65601,0.133396,5.5,12,9,21,2.1,9.3,true,false
openai-mini,5,openai,cascade,gpt-5.4,gpt-5-mini,46915,17937,64852,0.1320985,6.4,17,12,29,2.9,9.2,true,false
openai-mini,6,openai,cascade,gpt-5.4,gpt-5-mini,50812,19706,70518,0.1459395,8,26,9,35,3.5,9.3,true,false
openai-mini,7,openai,cascade,gpt-5.4,gpt-5-mini,45438,18110,63548,0.129744,5.7,14,10,24,2.4,9.2,true,false
openai-mini,8,openai,cascade,gpt-5.4,gpt-5-mini,47182,18005,65187,0.13307625,7.4,23,13,36,3.6,8.65,true,false
openai-mini,9,openai,cascade,gpt-5.4,gpt-5-mini,47753,19127,66880,0.1364625,4.7,11,6,17,1.7,9.3,true,false
openai-mini,10,openai,cascade,gpt-5.4,gpt-5-mini,47968,18621,66589,0.13447775,3.2,3,10,13,1.3,9.2,true,false
openai-nano,1,openai,cascade,gpt-5.4,gpt-5-nano,46038,29416,75454,0.10556555,1.8,10,1,11,1.1,8.75,true,false
openai-nano,2,openai,cascade,gpt-5.4,gpt-5-nano,42555,23914,66469,0.097027,1.7,8,0,8,0.8,9.2,true,false
openai-nano,3,openai,cascade,gpt-5.4,gpt-5-nano,46456,27132,73588,0.1048279,4.7,7,8,15,1.5,9.4,true,false
openai-nano,4,openai,cascade,gpt-5.4,gpt-5-nano,46099,27780,73879,0.10627515,8.8,67,9,76,7.6,9.25,true,false
openai-nano,5,openai,cascade,gpt-5.4,gpt-5-nano,45582,24807,70389,0.1006355,2.5,0,9,9,0.9,8.95,true,false
